#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	192000	-8018.3501	-8867.7996	-8019.8554	611.4410	25630.6257	1.002435159144008
NAMD	194500	-8033.3751	-8875.6200	-8037.5056	437.5788	25630.6257	1.002435159144008
GOMC	194500	-8037.645064924564	-8875.649100793402	-8037.5457047116315	378.83	25630.6257	1.0024
GOMC	195000	-8029.696247890001	-8859.552746298412	-8029.75586401776	369.07	25630.6257	1.0032999999999999
NAMD	195000	-8025.4520	-8859.3917	-8029.5825	435.5569	25630.6257	1.003335703245044
NAMD	197500	-8030.5631	-8870.7357	-8035.1840999999995	561.3146	25630.6257	1.003335703245044
GOMC	197500	-8035.061699388331	-8870.482369720936	-8034.942467132812	445.26	25630.6257	1.0032999999999999
GOMC	198000	-8049.170849624681	-8885.585122086606	-8049.150977582094	496.04	25630.6257	1.0057
NAMD	198000	-8047.4297	-8885.7628	-8049.313300000001	541.7461	25630.6257	1.0056745264139222
NAMD	200500	-8085.6495	-8858.4427	-8088.6097	-258.5575	25630.6257	1.0056745264139222
GOMC	200500	-8088.716214371634	-8858.559144169092	-8088.736086414221	-309.12	25630.6257	1.0057
